Name,Type,City,StateID
Davis County Sheriff's Office,Sheriffs Departments,Farmington,UT
Davis County Sheriff's Office,Sheriffs Departments,Farmington,UT
Roy City Police Department,Police Departments,Roy City,UT
Clearfield Police Department,Police Departments,Clearfield,UT
American Fork Police Department,Police Departments,American Fork,UT
Pleasant Grove Police Department,Police Departments,Pleasant Grove,UT
Tooele Police Department,Police Departments,Tooele,UT
Cedar City Police Department,Police Departments,Cedar City,UT
Springville Police Department,Police Departments,Springville,UT
Spanish Fork Police Department,Police Departments,Spanish Fork,UT
Brigham City Police Department,Police Departments,Brigham City,UT
South Ogden Police Department,Police Departments,South Ogden,UT
Kaysville Police Department,Police Departments,Kaysville,UT
Centerville Police Department,Police Departments,Centerville,UT
Naples Police Department,Police Departments,Naples,UT
Stockton Police Department,Police Departments,Stockton,UT
Parowan Police Department,Police Departments,Parowan,UT
Richfield Police Department,Police Departments,Richfield,UT
Hurricane Police Department,Police Departments,Hurricane,UT
Kanab Police Department,Police Departments,Kanab,UT
Santaquin Police Department,Police Departments,Santaquin,UT
Mapleton Police Department,Police Departments,Mapleton,UT
Nephi Police Department,Police Departments,Nephi,UT
Payson Police Department,Police Departments,Payson,UT
Salem Police Department,Police Departments,Salem,UT
Salina Police Department,Police Departments,Salina,UT
Gunnison Police Department,Police Departments,Gunnison,UT
Moroni Police Department,Police Departments,Moroni,UT
Mount Pleasant Police Department,Police Departments,Mt Pleasant,UT
Ephraim City Police Department,Police Departments,Ephraim,UT
Fairview Police Department,Police Departments,Fairview,UT
Helper Police Department,Police Departments,Helper,UT
Monticello Police Department,Police Departments,Monticello,UT
Wellington Police Department,Police Departments,Wellington,UT
Price Police Department,Police Departments,Price,UT
Blanding Police Department,Police Departments,Blanding,UT
Riverdale Department of Public Safety,Police Departments,Riverdale,UT
Pleasant View Police Department,Police Departments,Pleasant View,UT
North Ogden Police Department,Police Departments,North Ogden,UT
Willard Police Department,Police Departments,Willard,UT
Harrisville Police Department,Police Departments,Harrisville,UT
Tremonton Police Department,Police Departments,Tremonton,UT
Vernal Police Department,Police Departments,Vernal,UT
Wendover Police Department,Police Departments,Wendover,UT
Woods Cross Police Department,Police Departments,Woods Cross,UT
Roosevelt Police Department,Police Departments,Roosevelt,UT
Syracuse Police Department,Police Departments,Syracuse,UT
Lehi Police Department,Police Departments,Lehi,UT
Midvale City Police Department,Police Departments,Midvale,UT
Park City Police Department,Police Departments,Park City,UT
Farmington Police Department,Police Departments,Farmington,UT
Grantsville Police Department,Police Departments,Grantsville,UT
Heber City Police Department,Police Departments,Heber City,UT
Kamas City Police Department,Police Departments,Kamas,UT
Alpine/Highland Police Department,Police Departments,Alpine,UT
Sunset Police Department,Police Departments,Sunset,UT
Clinton Police Department,Police Departments,Clinton,UT
Utah Highway Patrol,Troop Locations,Taylorsville,UT
Santa Clara Police Department,Police Departments,Santa Clara,UT
Fountain Green Police Department,Police Departments,Fountain Green,UT
Alta Police Department,Police Departments,Alta,UT
Iron County Youth Center,Youth Institutions,Cedar City,UT
Box Elder Diversion Programs,Youth Institutions,Brigham City,UT
Ivins Police Department,Police Departments,Ivins,UT
Perry Police Department,Police Departments,Perry,UT
Minersville Police Department,Police Departments,Minersville,UT
North Park Police Department,Police Departments,North Logan,UT
Mantua Police Department,Police Departments,Mantua,UT
Garland Police Department,Police Departments,Garland,UT
East Carbon Police Department,Police Departments,East Carbon,UT
Salt Lake County Jail,County Jails,South Salt Lake City,UT
Duchesne County Jail Work Release,County Jails,Duchesne,UT
Utah Highway Patrol,Troop Locations,Heber,UT
Utah Highway Patrol,Headquarters,Salt Lake City,UT
Split Mountain Youth Center,Youth Institutions,Vernal,UT
Central Utah Youth Center,Youth Institutions,Richfield,UT
Salt Lake Valley Detention Center,Youth Institutions,Salt Lake City,UT
Teen Alternative to Secure Care,Youth Institutions,Salt Lake City,UT
Office of Community Programs,Youth Institutions,Ogden,UT
Cache Valley Youth Center,Youth Institutions,Logan,UT
Draper Site Complex,Adult Institutions,Draper,UT
Northern Utah Community Corrections Center,Adult Institutions,Ogden,UT
Orange Street Community Corrections Center,Adult Institutions,Salt Lake City,UT
Fremont Community Corrections Center,Adult Institutions,West Valley City,UT
Div of Adult Probation & Parole,Adult Probation & Parole,Farmington,UT
Div of Adult Probation & Parole,Adult Probation & Parole,Salt Lake City,UT
Central UT Correctional Facility,Adult Institutions,Gunnison,UT
Department of the Army,Military Installations & Bases,Dugway,UT
Department of the Air Force,Military Installations & Bases,Hill AFB,UT
Wayne County Sheriffs Department,Sheriffs Departments,Loa,UT
Weber County Sheriffs Office,Sheriffs Departments,Ogden,UT
Salt Lake County Sheriffs Office,Sheriffs Departments,Salt Lake City,UT
Sanpete County Sheriffs Department,Sheriffs Departments,Manti,UT
Summit County Sheriffs Department,Sheriffs Departments,Park City,UT
Morgan County Sheriffs Department,Sheriffs Departments,Morgan,UT
Rich County Sheriffs Office,Sheriffs Departments,Randolph,UT
Grand County Sheriffs Department,Sheriffs Departments,Moab,UT
Iron County Sheriffs Department,Sheriffs Departments,Cedar City,UT
Millard County Sheriffs Office,Sheriffs Departments,Fillmore,UT
Daggett County Sheriffs Department,Sheriffs Departments,Manila,UT
Emery County Sheriffs Office,Sheriffs Departments,Castle Dale,UT
Beaver County Sheriffs Department,Sheriffs Departments,Beaver,UT
Salt Lake City Police Department,Police Departments,Salt Lake City,UT
West Valley City Police Department,Police Departments,West Valley City,UT
Provo Police Department,Police Departments,Provo,UT
Sandy City Police Department,Police Departments,Sandy City,UT
Orem Department of Public Safety,Police Departments,Orem,UT
Ogden City Police Department,Police Departments,Ogden,UT
West Jordan Police Department,Police Departments,West Jordan,UT
Layton Police Department,Police Departments,Layton,UT
Logan City Police Department,Police Departments,Logan,UT
Bountiful Police Department,Police Departments,Bountiful,UT
St George Police Department,Police Departments,St George,UT
Murray City Police Department,Police Departments,Murray,UT